time, Quad.Est.E.Yaw
2.674989,0.036707
2.679988,0.024955
2.684988,0.023317
2.689987,0.022609
2.694987,0.021838
2.699987,0.023280
2.704986,0.021319
2.709986,0.013569
2.714986,0.013505
2.719985,0.020684
2.724985,0.023030
2.729985,0.014263
2.734984,0.015810
2.739984,0.019132
2.744983,0.017619
2.749983,0.021880
2.754983,0.020606
2.759982,0.011010
2.764982,0.011686
2.769982,0.014348
2.774981,0.012043
2.779981,0.005119
2.784981,0.004660
2.789980,-0.006645
2.794980,-0.008823
2.799979,-0.020035
2.804979,-0.023065
2.809979,-0.007228
2.814978,-0.004304
2.819978,-0.001612
2.824978,-0.002805
2.829977,-0.008154
2.834977,-0.006670
2.839977,-0.019404
2.844976,-0.018291
2.849976,-0.006181
2.854975,-0.009368
2.859975,-0.006714
2.864975,-0.006553
2.869974,0.004174
2.874974,0.004228
2.879974,0.008902
2.884973,0.010175
2.889973,0.011697
2.894973,0.012431
2.899972,0.001449
2.904972,0.000313
2.909971,-0.017660
2.914971,-0.019473
2.919971,-0.021330
2.924970,-0.022737
2.929970,-0.020950
2.934970,-0.020317
2.939969,-0.019204
2.944969,-0.016976
2.949969,-0.020260
2.954968,-0.021710
2.959968,-0.017117
2.964967,-0.017700
2.969967,-0.011401
2.974967,-0.007204
2.979966,0.003234
2.984966,0.004085
2.989966,0.011748
2.994965,0.010163
2.999965,0.032759
3.004965,0.032782
3.009964,0.032534
3.014964,0.029164
3.019964,0.027993
3.024963,0.027592
3.029963,0.028812
3.034962,0.027650
3.039962,0.024488
3.044962,0.021217
3.049961,0.029624
3.054961,0.026647
3.059961,0.025372
3.064960,0.025166
3.069960,0.032214
3.074960,0.030111
3.079959,0.022643
3.084959,0.023976
3.089958,0.016309
3.094958,0.016125
3.099958,0.016501
3.104957,0.016528
3.109957,0.031909
3.114957,0.027298
3.119956,0.029234
3.124956,0.030135
3.129956,0.044434
3.134955,0.043223
3.139955,0.054404
3.144954,0.050208
3.149954,0.052028
3.154954,0.050039
3.159953,0.046443
3.164953,0.041711
3.169953,0.023161
3.174952,0.023280
3.179952,0.029553
3.184952,0.032964
3.189951,0.015055
3.194951,0.013968
3.199950,0.010895
3.204950,0.014733
3.209950,0.020529
3.214949,0.022829
3.219949,0.024579
3.224949,0.024870
3.229948,0.024220
3.234948,0.025351
3.239948,0.025060
3.244947,0.025372
3.249947,0.021885
3.254946,0.020938
3.259946,0.020960
3.264946,0.023275
3.269945,0.016545
3.274945,0.016473
3.279945,0.014597
3.284944,0.013816
3.289944,0.020811
3.294944,0.019725
3.299943,0.022636
3.304943,0.023124
3.309942,0.031683
3.314942,0.033738
3.319942,0.008834
3.324941,0.014245
3.329941,0.032866
3.334941,0.033756
3.339940,0.025823
3.344940,0.025522
3.349940,0.023860
3.354939,0.022437
3.359939,0.017605
3.364938,0.017989
3.369938,0.024297
3.374938,0.029766
3.379937,0.015487
3.384937,0.016727
3.389937,0.019271
3.394936,0.022565
3.399936,0.020583
3.404936,0.021495
3.409935,0.033330
3.414935,0.034370
3.419935,0.027404
3.424934,0.032052
3.429934,0.022697
3.434933,0.020261
3.439933,0.010288
3.444933,0.009768
3.449932,0.022328
3.454932,0.021931
3.459932,0.008695
3.464931,0.009813
3.469931,0.022893
3.474931,0.023543
3.479930,0.022953
3.484930,0.019900
3.489929,0.021250
3.494929,0.024316
3.499929,0.017606
3.504928,0.017422
3.509928,0.020338
3.514928,0.023632
3.519927,0.017675
3.524927,0.017931
3.529927,0.011671
3.534926,0.008463
3.539926,0.008032
3.544925,0.008529
3.549925,0.006316
3.554925,0.008739
3.559924,0.007317
3.564924,0.007389
3.569924,0.003970
3.574923,0.006159
3.579923,0.003120
3.584923,0.003529
3.589922,0.001647
3.594922,0.004134
3.599921,0.003537
3.604921,0.002975
3.609921,0.007758
3.614920,0.007016
3.619920,0.010077
3.624920,0.011413
3.629919,0.006601
3.634919,0.004510
3.639919,0.010914
3.644918,0.009401
3.649918,-0.000760
3.654917,-0.001374
3.659917,0.003518
3.664917,0.001890
3.669916,0.000440
3.674916,-0.000217
3.679916,0.007068
3.684915,0.005443
3.689915,0.013450
3.694915,0.014039
3.699914,0.004459
3.704914,0.004851
3.709913,0.015698
3.714913,0.014678
3.719913,0.021367
3.724912,0.019673
3.729912,-0.004586
3.734912,-0.004996
3.739911,-0.025611
3.744911,-0.026462
