time, Quad.MagYaw, Quad.Est.Yaw, Quad.Yaw
1.640021,0.007305,-0.010138,0.001013
1.645021,nan,-0.008579,0.001076
1.650021,-0.121393,-0.020533,0.001144
1.655021,nan,-0.019129,0.001217
1.660022,0.024100,-0.016265,0.001299
1.665022,nan,-0.016261,0.001386
1.670022,0.126264,-0.004827,0.001474
1.675022,nan,-0.005745,0.001562
1.680022,0.084962,0.001193,0.001648
1.685023,nan,0.001721,0.001728
1.690023,-0.079056,-0.004666,0.001800
1.695023,nan,-0.004387,0.001870
1.700023,0.033623,0.000901,0.001942
1.705024,nan,0.000883,0.002020
1.710024,-0.116550,-0.009223,0.002103
1.715024,nan,-0.010299,0.002190
1.720024,0.041792,-0.006134,0.002279
1.725025,nan,-0.007721,0.002368
1.730025,-0.008388,-0.007777,0.002454
1.735025,nan,-0.008943,0.002537
1.740025,-0.134276,-0.019376,0.002617
1.745026,nan,-0.022352,0.002693
1.750026,-0.174255,-0.033357,0.002760
1.755026,nan,-0.033657,0.002819
1.760026,0.080223,-0.025133,0.002874
1.765026,nan,-0.024930,0.002929
1.770027,-0.099757,-0.030952,0.002983
1.775027,nan,-0.032761,0.003040
1.780027,-0.052125,-0.036363,0.003100
1.785027,nan,-0.037473,0.003160
1.790028,0.152388,-0.024624,0.003216
1.795028,nan,-0.028022,0.003267
1.800028,-0.056403,-0.031372,0.003315
1.805028,nan,-0.032869,0.003358
1.810029,-0.076579,-0.035286,0.003392
1.815029,nan,-0.037247,0.003424
1.820029,0.026593,-0.031476,0.003454
1.825029,nan,-0.030747,0.003485
1.830029,-0.043777,-0.033817,0.003514
1.835030,nan,-0.032447,0.003538
1.840030,0.148491,-0.015646,0.003557
1.845030,nan,-0.016134,0.003571
1.850030,0.057314,-0.009773,0.003583
1.855031,nan,-0.009494,0.003595
1.860031,-0.036540,-0.009823,0.003607
1.865031,nan,-0.008646,0.003618
1.870031,-0.034507,-0.011026,0.003631
1.875032,nan,-0.010157,0.003643
1.880032,-0.129885,-0.017598,0.003652
1.885032,nan,-0.018315,0.003662
1.890032,-0.089908,-0.024250,0.003677
1.895033,nan,-0.024727,0.003696
1.900033,0.123737,-0.012711,0.003718
1.905033,nan,-0.012459,0.003743
1.910033,-0.134384,-0.019201,0.003770
1.915033,nan,-0.021075,0.003802
1.920034,-0.044609,-0.023811,0.003834
1.925034,nan,-0.020866,0.003863
1.930034,0.001034,-0.020806,0.003890
1.935034,nan,-0.020858,0.003917
1.940035,-0.004942,-0.018670,0.003942
1.945035,nan,-0.019987,0.003968
1.950035,0.187401,-0.002785,0.003999
1.955035,nan,-0.005883,0.004035
1.960036,0.185258,0.008640,0.004077
1.965036,nan,0.010245,0.004125
1.970036,-0.045345,0.008839,0.004174
1.975036,nan,0.009560,0.004224
1.980036,-0.101024,0.002251,0.004278
1.985037,nan,0.001502,0.004335
1.990037,0.075225,0.007615,0.004393
1.995037,nan,0.007330,0.004447
2.000037,-0.141127,-0.001101,0.004498
2.005037,nan,0.000835,0.004543
2.010037,-0.052025,-0.001575,0.004586
2.015036,nan,-0.003298,0.004628
2.020036,-0.212423,-0.017407,0.004672
2.025036,nan,-0.020147,0.004717
2.030035,-0.069878,-0.024292,0.004764
2.035035,nan,-0.027890,0.004811
2.040035,-0.062144,-0.031372,0.004857
2.045034,nan,-0.031636,0.004904
2.050034,-0.113893,-0.038413,0.004951
2.055033,nan,-0.039148,0.004999
2.060033,-0.152573,-0.047854,0.005048
2.065033,nan,-0.046883,0.005103
2.070032,0.033349,-0.039029,0.005160
2.075032,nan,-0.041068,0.005217
2.080032,0.013201,-0.036426,0.005277
2.085031,nan,-0.035903,0.005340
